:START_ID	:END_ID	:TYPE
"00001740-n"	"00001930-n"	"hyponym"
"00001740-n"	"00002137-n"	"hyponym"
"00001740-v"	"00002573-v"	"hyponym"
"00001740-v"	"00002724-v"	"hyponym"
"00001740-v"	"00002942-v"	"hyponym"
"00001740-v"	"00003826-v"	"hyponym"
"00001740-v"	"00004032-v"	"hyponym"
"00001740-v"	"00004227-v"	"hyponym"
"00001740-v"	"00005041-v"	"hyponym"
"00001740-v"	"00006697-v"	"hyponym"
"00001740-v"	"00002325-v"	"similar"
"00001740-v"	"00002573-v"	"similar"
"00001930-n"	"00001740-n"	"hypernym"
"00001930-n"	"00002452-n"	"hyponym"
"00001930-n"	"00002684-n"	"hyponym"
"00002137-n"	"00001740-n"	"hypernym"
"00002325-v"	"00001740-v"	"similar"
"00002452-n"	"00001930-n"	"hypernym"
"00002573-v"	"00001740-v"	"hypernym"
"00002573-v"	"00001740-v"	"similar"
"00002684-n"	"00001930-n"	"hypernym"
"00002684-n"	"00003553-n"	"hyponym"
"00002724-v"	"00001740-v"	"hypernym"
"00002942-v"	"00001740-v"	"hypernym"
"00002942-v"	"00003133-v"	"similar"
"00003133-v"	"00002942-v"	"similar"
"00003316-v"	"00005041-v"	"hypernym"
"00003356-a"	"00003552-s"	"similar"
"00003356-a"	"00003699-s"	"similar"
"00003356-a"	"00003828-s"	"similar"
"00003552-s"	"00003356-a"	"similar"
"00003553-n"	"00002684-n"	"hypernym"
"00003553-n"	"00003993-n"	"hyponym"
"00003553-n"	"00004258-n"	"hyponym"
"00003699-s"	"00003356-a"	"similar"
"00003826-v"	"00001740-v"	"hypernym"
"00003828-s"	"00003356-a"	"similar"
"00003938-a"	"00004170-s"	"similar"
"00003938-a"	"00004295-s"	"similar"
"00003993-n"	"00003553-n"	"hypernym"
"00004032-v"	"00001740-v"	"hypernym"
"00004170-s"	"00003938-a"	"similar"
"00004227-v"	"00001740-v"	"hypernym"
"00004227-v"	"00006523-v"	"hyponym"
"00004258-n"	"00003553-n"	"hypernym"
"00004258-n"	"00004475-n"	"hyponym"
"00004258-n"	"00006269-n"	"hyponym"
"00004258-n"	"00006400-n"	"hyponym"
"00004258-n"	"00006484-n"	"hyponym"
"00004295-s"	"00003938-a"	"similar"
"00004412-a"	"00004614-s"	"similar"
"00004412-a"	"00004722-s"	"similar"
"00004412-a"	"00004816-s"	"similar"
"00004475-n"	"00004258-n"	"hypernym"
"00004475-n"	"00005787-n"	"hyponym"
"00004475-n"	"00005930-n"	"hyponym"
"00004475-n"	"00006024-n"	"hyponym"
"00004475-n"	"00006150-n"	"hyponym"
"00004475-n"	"00006484-n"	"mero_part"
"00004614-s"	"00004412-a"	"similar"
"00004722-s"	"00004412-a"	"similar"
"00004816-s"	"00004412-a"	"similar"
"00004979-a"	"00005106-s"	"similar"
"00005041-v"	"00001740-v"	"hypernym"
"00005041-v"	"00003316-v"	"hyponym"
"00005106-s"	"00004979-a"	"similar"
"00005204-a"	"00005472-s"	"similar"
"00005204-a"	"00005598-s"	"similar"
"00005204-a"	"00005717-s"	"similar"
"00005204-a"	"00005838-s"	"similar"
"00005472-s"	"00005204-a"	"similar"
"00005598-s"	"00005204-a"	"similar"
"00005717-s"	"00005204-a"	"similar"
"00005787-n"	"00004475-n"	"hypernym"
"00005815-v"	"00006238-v"	"hypernym"
"00005815-v"	"00006100-v"	"hyponym"
"00005838-s"	"00005204-a"	"similar"
"00005930-n"	"00004475-n"	"hypernym"
"00006024-n"	"00004475-n"	"hypernym"
"00006050-a"	"00006263-s"	"similar"
"00006100-v"	"00005815-v"	"hypernym"
"00006150-n"	"00004475-n"	"hypernym"
"00006238-v"	"00005815-v"	"hyponym"
"00006263-s"	"00006050-a"	"similar"
"00006269-n"	"00004258-n"	"hypernym"
"00006354-a"	"00006795-s"	"similar"
"00006400-n"	"00004258-n"	"hypernym"
"00006484-n"	"00004258-n"	"hypernym"
"00006523-v"	"00004227-v"	"hypernym"
"00006697-v"	"00001740-v"	"hypernym"
