,type,id
0,Attribute,3
1,InSynset,26
2,Domain,13
3,SimilarTo,39
4,AlsoSee,0
5,IsA,28
6,PartOf,36
7,Entailment,14
8,VerbGroup,40
9,Cause,5
10,Antonym,1
11,AtLocation,2
12,CapableOf,4
13,Causes,6
14,CausesDesire,7
15,CreatedBy,8
16,DefinedAs,9
17,DerivedFrom,10
18,Desires,11
19,DistinctFrom,12
20,Entails,15
21,EtymologicallyDerivedFrom,16
22,EtymologicallyRelatedTo,17
23,FormOf,18
24,HasA,19
25,HasContext,20
26,HasFirstSubevent,21
27,HasLastSubevent,22
28,HasPrerequisite,23
29,HasProperty,24
30,HasSubevent,25
31,InstanceOf,27
32,LocatedNear,29
33,MadeOf,30
34,MannerOf,31
35,MotivatedByGoal,32
36,NotCapableOf,33
37,NotDesires,34
38,NotHasProperty,35
39,ReceivesAction,37
40,RelatedTo,38
