,0
0,adj.all
1,noun.Tops
2,adv.all
3,verb.body
4,noun.act
5,verb.change
6,verb.cognition
7,verb.communication
8,verb.competition
9,verb.consumption
10,verb.contact
11,noun.animal
12,verb.creation
13,verb.emotion
14,verb.motion
15,verb.perception
16,verb.possession
17,verb.social
18,adj.pert
19,verb.stative
20,noun.artifact
21,verb.weather
22,adj.ppl
23,noun.attribute
24,noun.body
25,noun.cognition
26,noun.communication
27,noun.event
28,noun.feeling
29,noun.food
30,noun.group
31,noun.location
32,noun.motive
33,noun.object
34,noun.person
35,noun.phenomenon
36,noun.plant
37,noun.possession
38,noun.process
39,noun.quantity
40,noun.relation
41,noun.shape
42,noun.state
43,noun.substance
44,noun.time
